"neo","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
Y,1.034,,0.455,,,,,,,
Y,0.303,,0.482,73.,,,,,,
Y,1.232,,0.353,3.853,,,,,,
Y,0.886,,0.118,5.131,,,,,,
Y,0.860,,0.378,,,,,,,
Y,1.595,,0.252,6.81,,,,,,
Y,2.137,,0.169,32.1,,,,,,
Y,2.240,,0.038,8.06,,,,,,
Y,1.4,,0.146,8.147,,,,,,
Y,0.272,,0.287,32.,,,,,Xc,
Y,0.282,,0.169,3.276,,,,,,
Y,0.298,,0.200,,,,,,,
Y,4.167,,0.022,125,,,,,Cb,
Y,0.413,,0.264,,,,,,,
Y,0.414,,0.216,8.021,,,,,,
Y,1.022,,0.388,,,,,,,
Y,1.646,,0.237,4.1367,,,,,Q,
Y,0.820,,0.205,,,,,,,
Y,0.776,,0.353,4.179,,,,,,
Y,0.788,,0.342,,,,,,,
Y,0.531,,0.109,10.009,,,,,S:,
Y,1.327,,0.100,,,,,,,
Y,0.510,,0.129,5.022,,,,,X,
Y,1.289,,0.035,,,,,,,
Y,3.160,,0.177,,,,,,,
Y,2.441,,0.039,,,,,,,
Y,2,,,3.423,,,,,,
Y,0.932,,0.097,4.253,,,,,,
Y,1.759,,0.193,17.95,,,,,,
Y,1.119,,0.098,2.554,,,,,,
Y,1.098,,0.149,,,,,,,
Y,1.060,,0.143,4.823,,,,,,
Y,1.109,,0.395,1.611,,,,,,
Y,0.086,,0.530,,,,,,,
Y,0.469,,0.319,161,,,,,,
Y,0.828,,0.195,13.761,,,,,,
Y,0.683,,0.379,3.479,,,,,,
Y,0.577,,0.367,14.245,,,,,,
Y,1.769,,0.187,,,,,,,
Y,2.324,,0.052,7.84,,,,,,
Y,1.784,,0.038,,,,,,,
Y,1.156,,0.209,,,,,,,
Y,1.845,,0.162,,,,,,,
Y,3.070,,0.130,2.7247,,,,,,
Y,2.620,,0.026,33.4,,,,,,
Y,1.9,,0.09,3.7538,,0.910,0.484,,,S
Y,0.458,,0.211,,,,,,,
Y,0.4,,,2.536,,,,,,
Y,1.959,,0.105,7.16,,,,,,
Y,0.847,,0.186,1880,,,,,,
Y,0.777,,0.035,,,,,,,
Y,0.538,,0.116,,,,,,,
